City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,16.84,99,0,0.45,ZA,1731381504
1,flin flon,54.7682,-101.865,1.09,69,100,5.97,CA,1731381032
2,stanley,54.868,-1.6985,2.87,95,55,1.54,GB,1731381506
3,blackmans bay,-43.0167,147.3167,20.2,60,0,0.45,AU,1731381507
4,nar'yan-mar,67.6713,53.087,-10.98,96,79,2.23,RU,1731381508
5,port-aux-francais,-49.35,70.2167,5.12,96,100,8.62,TF,1731381509
6,bilibino,68.0546,166.4372,-23.38,96,81,1.99,RU,1731381510
7,puerto natales,-51.7236,-72.4875,7.6,83,70,5.27,CL,1731381511
8,albany,42.6001,-73.9662,11.11,68,100,0.45,US,1731381291
9,grytviken,-54.2811,-36.5092,-0.29,89,96,5.59,GS,1731381514
10,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,48,75,9.0,RU,1731381515
11,talara,-4.5772,-81.2719,18.34,89,25,6.74,PE,1731381516
12,hammerfest,70.6634,23.6821,5.25,93,100,3.6,NO,1731381517
13,edinburgh of the seven seas,-37.0676,-12.3116,13.05,79,98,6.43,SH,1731381518
14,lebu,-37.6167,-73.65,11.24,77,92,7.2,CL,1731381519
15,columbus,39.9612,-82.9988,8.89,72,20,7.2,US,1731380785
16,colares,38.7992,-9.4469,15.94,66,0,4.65,PT,1731381521
17,tulun,54.5611,100.5792,-1.98,84,100,1.65,RU,1731381522
18,san pedro pochutla,15.7333,-96.4667,25.95,88,100,1.6,MX,1731381523
19,east london,-33.0153,27.9116,17.87,84,61,6.3,ZA,1731381524
20,tangalle,6.024,80.7911,28.18,77,30,0.85,LK,1731381527
21,iqaluit,63.7506,-68.5145,-10.68,89,99,0.87,CA,1731381318
22,adamstown,-25.066,-130.1015,21.87,65,100,1.49,PN,1731381291
23,long beach,33.767,-118.1892,15.73,89,100,2.57,US,1731381311
24,marka,1.7159,44.7717,25.78,85,96,4.14,SO,1731381531
25,udachny,66.4167,112.4,-19.47,100,100,2.23,RU,1731381532
26,jamestown,42.097,-79.2353,7.23,79,100,6.69,US,1731381533
27,taltal,-25.4,-70.4833,16.91,81,23,1.8,CL,1731381536
28,hawaiian paradise park,19.5933,-154.9731,23.19,95,40,2.57,US,1731381537
29,bethel,41.3712,-73.414,11.0,71,3,3.33,US,1731381260
30,xining,36.6167,101.7667,3.58,77,91,1.73,CN,1731381089
31,aasiaat,68.7098,-52.8699,-2.08,77,100,8.99,GL,1731381540
32,atafu village,-8.5421,-172.5159,28.84,72,6,5.74,TK,1731381541
33,coronado,32.6859,-117.1831,15.58,84,20,3.6,US,1731381543
34,yellowknife,62.456,-114.3525,-7.55,98,100,7.15,CA,1731381544
35,lubumbashi,-11.6609,27.4794,16.86,99,98,1.72,CD,1731381545
36,an nuhud,12.7,28.4333,22.09,23,0,7.48,SD,1731381546
37,tiksi,71.6872,128.8694,-18.21,95,100,0.96,RU,1731381548
38,lospalos,-8.5186,127.0025,30.32,48,58,4.7,TL,1731381549
39,howard springs,-12.497,131.047,34.29,56,13,1.44,AU,1731381550
40,maua,-23.6678,-46.4614,22.64,62,0,2.91,BR,1731381551
41,weno,7.4515,151.8468,26.05,83,100,3.68,FM,1731381552
42,cururupu,-1.8283,-44.8683,22.98,88,100,0.77,BR,1731381553
43,aldama,22.9167,-98.0667,22.39,96,48,2.07,MX,1731381554
44,port maria,18.3685,-76.8895,26.23,84,63,0.72,JM,1731381556
45,gadzhiyevo,69.2551,33.3362,2.42,88,100,6.72,RU,1731381557
46,pangoa,-12.1167,-73.0,21.55,98,100,1.19,PE,1731381558
47,college,64.8569,-147.8028,-19.03,78,75,0.0,US,1731381559
48,waitangi,-43.9535,-176.5597,13.23,67,34,1.79,NZ,1731381561
49,chambas,22.1928,-78.9136,23.68,99,43,1.16,CU,1731381562
50,cabo san lucas,22.8909,-109.9124,24.17,60,20,0.0,MX,1731381339
51,ust'-ilimsk,58.0006,102.6619,-1.95,87,100,2.55,RU,1731381564
52,nova sintra,14.8667,-24.7167,27.19,67,61,6.34,CV,1731381565
53,santo antonio,-6.3106,-35.4789,23.01,77,14,2.33,BR,1731381566
54,port mathurin,-19.6833,63.4167,24.39,80,67,8.87,MU,1731381567
55,brezina,33.0989,1.2608,12.6,62,7,2.34,DZ,1731381568
56,saipan,15.1355,145.701,28.69,84,75,6.69,MP,1731381569
57,pyapon,16.2833,95.6833,27.66,82,83,2.36,MM,1731381572
58,kapoeta,4.7717,33.5903,24.03,69,79,2.0,SS,1731381573
59,cabinda,-5.55,12.2,24.59,91,70,2.2,AO,1731381574
60,vadso,70.0744,29.7487,2.09,87,100,4.12,NO,1731381575
61,margaret river,-33.95,115.0667,17.53,65,84,4.52,AU,1731381359
62,hinton,53.4001,-117.5857,1.92,76,71,2.79,CA,1731381578
63,bredasdorp,-34.5322,20.0403,13.4,91,31,0.68,ZA,1731381579
64,kavieng,-2.5744,150.7967,29.67,67,9,2.36,PG,1731381581
65,jumla,29.2747,82.1838,9.56,59,15,0.45,NP,1731381582
66,arraial do cabo,-22.9661,-42.0278,22.21,84,0,10.03,BR,1731381583
67,lazaro cardenas,17.9583,-102.2,26.28,84,33,1.42,MX,1731381584
68,guerrero negro,27.9769,-114.0611,16.78,81,80,5.97,MX,1731381318
69,solnechnyy,50.7214,136.6319,-4.39,48,100,2.75,RU,1731381586
70,beyneu,45.3167,55.2,5.03,60,100,3.05,KZ,1731381105
71,alice springs,-23.7,133.8833,25.75,57,20,6.17,AU,1731381588
72,yaren,-0.5472,166.916,28.39,67,0,6.24,NR,1731381388
73,puerto francisco de orellana,-0.4667,-76.9667,23.81,85,85,0.83,EC,1731381590
74,talnakh,69.4865,88.3972,-28.06,91,51,0.77,RU,1731381591
75,verkhov'ye,52.8119,37.2425,-1.44,84,75,1.75,RU,1731381593
76,notodden,59.5594,9.2585,3.7,82,100,0.94,NO,1731381594
77,stephenville,32.2207,-98.2023,17.07,51,0,0.0,US,1731381312
78,georgetown,5.4112,100.3354,29.94,67,20,3.09,MY,1731381596
79,altamont,42.2068,-121.7372,2.98,90,100,6.17,US,1731381597
80,eilat,29.5581,34.9482,16.91,59,73,2.57,IL,1731381598
81,prince rupert,54.3161,-130.3201,7.05,81,100,3.09,CA,1731381599
82,sol'-iletsk,51.1631,54.9918,-7.16,93,23,1.2,RU,1731381600
83,gaigeturi,33.4644,126.3183,18.06,71,4,4.99,KR,1731381601
84,puerto baquerizo moreno,-0.9,-89.6,20.77,74,60,4.36,EC,1731381602
85,punta arenas,-53.15,-70.9167,9.06,81,75,14.4,CL,1731381604
86,tralee,52.2704,-9.7026,8.01,95,100,0.17,IE,1731381605
